name,category,description,primary_user,status,skill_type,archetype,agent_pattern,risk_tier,action_mode,human_approval,delivery_wave,tooling_data,validation_focus,scheduled_agent
settlement-break-reconciler,Payments,"Reconcile network, acquirer, and processor settlement files to bank cash, fees, reserves, and internal ledgers; classify breaks, quantify impact, preserve lineage, and propose corrections for approval.",Settlement operations / finance operations,new,Analysis and evaluation skills,Reconcile & validate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Network/acquirer/processor settlement files, bank cash, fee and reserve schedules, internal ledger/subledger, reconciliation and calculation service","File and period completeness, record matching, cash and ledger tie-outs, fee/reserve calculations, break taxonomy, proposed correction accuracy",No by default
transaction-reconciliation-helper,Payments,"Reconcile transaction-level processor, gateway, bank, ledger, and merchant records; classify mismatches, preserve lineage, and propose resolution entries, while routing settlement-file and cash-ledger breaks to the dedicated settlement workflow.",Merchant / reconciliation analyst,existing (updated),Analysis and evaluation skills,Reconcile & validate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Transaction-level record matching, lineage, break taxonomy, totals, proposed-entry accuracy, correct routing of settlement-file breaks",No by default
merchant-onboarding-risk-reviewer,Payments,"Review merchant KYB, beneficial ownership, business model, expected activity, products, prohibited uses, fraud, credit, sanctions, and compliance risks; assemble an evidence package and recommendation for authorized approval.",Merchant-risk / underwriting / KYB analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Merchant application, KYB/ownership, sanctions and adverse media, website/product data, expected activity, fraud/credit data, network and prohibited-use rules","Entity and owner resolution, business-model classification, evidence completeness, risk-rule accuracy, false positives/negatives, approval traceability",No by default
payment-fraud-case-investigator,Payments,"Investigate payment-fraud alerts using device, identity, behavior, transaction, beneficiary, and network evidence; document disposition recommendations.",Fraud investigator / payments risk analyst,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Entity resolution, evidence completeness, chronology, disposition consistency, reviewer agreement",No by default
real-time-payment-risk-monitor,Payments,"Continuously monitor instant-payment flows for unusual patterns, velocity, mule indicators, limits, and liquidity impacts; escalate without autonomous account blocking.",Payments risk / fraud operations,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
iso-20022-message-interpreter,Payments,"Parse and explain ISO 20022 pain, pacs, camt, and related messages, validate required data, trace transformations, and diagnose validation, rejection, truncation, or status-reporting risks.",Payments operations / implementation analyst,new,Utility skills,Explain & summarize,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ISO 20022 pain/pacs/camt schemas and usage guidelines, validation engine, message repository, transformation maps, payment status data","Schema and business-rule validation, field semantics, identifier and status traceability, transformation and truncation detection",No by default
payment-exception-investigator,Payments,"Investigate ISO 20022 payment exceptions and investigation cases, including camt messages; build a structured chronology, trace status and parties, identify routing or repair needs, and hand off approved next steps.",Payments investigations / operations analyst,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Payment messages and status, ISO 20022 camt/pacs data, investigations/case system, correspondents and counterparties, screening and repair rules","Payment and party identity, status and message chronology, case completeness, routing accuracy, repair recommendation, no unauthorized fund movement",No by default
payment-repair-assistant,Payments,"Use an approved exception or investigation case to construct a validated repair plan for rejected or held payments, confirm beneficiary and compliance data, and require authorization before resubmission.",Payments investigations / repair team,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"Approved payment-exception case, payment messages and status, beneficiary/customer data, screening results, repair rules, payment-operations system","Case and payment identity, repair-rule accuracy, required-data completeness, approval, idempotency, resubmission verification and rollback guidance",No by default
pci-dss-evidence-assistant,Payments,"Map PCI DSS requirements to controls and evidence, identify gaps, and assemble assessor-ready support without attesting compliance.",PCI program manager / security or compliance analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
stablecoin-payment-controls-reviewer,Payments,"Review stablecoin payment or settlement workflows for reserve, custody, screening, transaction, operational, reconciliation, and disclosure controls.",Payments product risk / compliance / treasury,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
network-rules-change-tracker,Payments,"Monitor card-network and payment-scheme bulletins, normalize effective dates and obligations, map changes to products, procedures, controls, contracts, systems, and owners, and track implementation readiness.",Payments compliance / product / operations,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Card-network and payment-scheme bulletins, rule taxonomy, effective dates, product/process/control/system inventories, owner and implementation tracker","Bulletin authenticity and version, obligation and date extraction, applicability, mapping completeness, duplicate handling, readiness and owner traceability",Yes — read-only monitoring only
comps-analysis-builder,Investment Banking & Research,"Build and refresh comparable-company analyses with sourced operating metrics, enterprise-value bridges, trading multiples, peer rationale, and QA checks.",Investment-banking / equity-research analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
dcf-modeler,Investment Banking & Research,"Build a source-linked DCF with forecast drivers, WACC, terminal value, enterprise-to-equity bridge, scenarios, sensitivities, and model checks.",Investment-banking / research analyst,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
coverage-initiation-researcher,Investment Banking & Research,"Develop an initiating-coverage draft covering business model, industry, competitive position, forecasts, catalysts, risks, valuation, and thesis evidence.",Equity-research analyst,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
company-profile-builder,Investment Banking & Research,"Create concise company profiles and strip pages with business overview, KPIs, ownership, management, trading data, transactions, and sources.",Investment-banking analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
due-diligence-packager,Investment Banking & Research,"Convert data-room documents into an indexed, source-mapped diligence pack with extracted data, issue log, open questions, and model handoffs.",Deal-team analyst / diligence lead,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
earnings-results-analyzer,Investment Banking & Research,"Produce a post-earnings beat or miss analysis covering reported results, guidance, KPI drivers, transcript changes, estimates, valuation, and thesis impact.",Equity-research analyst / portfolio analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
investment-banking-pitch-builder,Investment Banking & Research,"Assemble a banker-reviewed pitch-book draft from approved analyses, templates, client context, page takeaways, sources, and presentation QA.",Coverage banker / investment-banking analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
coverage-meeting-preparer,Investment Banking & Research,"Prepare client and prospect briefs with relationship history, company developments, strategic issues, likely objectives, questions, and follow-ups.",Coverage banker / senior relationship manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
market-landscape-researcher,Investment Banking & Research,"Map an industry or theme across value chain, competitors, customers, regulation, technology, economics, transactions, and strategic implications.",Banking / research analyst or strategist,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
market-sizing-builder,Investment Banking & Research,"Estimate TAM, SAM, and SOM using transparent top-down and bottom-up methods, scenario ranges, source hierarchy, and uncertainty.",Investment-banking / research / strategy analyst,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
three-statement-model-builder,Investment Banking & Research,"Build an integrated income statement, balance sheet, and cash-flow model with drivers, schedules, scenarios, and balancing checks.",Investment-banking / research analyst,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
merger-model-builder,Investment Banking & Research,"Build accretion or dilution and pro forma ownership analyses covering consideration, financing, synergies, purchase accounting, and sensitivities.",M&A analyst / corporate-development analyst,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
lbo-model-builder,Investment Banking & Research,"Build an LBO model with sources and uses, debt schedules, cash sweep, liquidity, exit assumptions, returns, and downside cases.",Financial-sponsors / leveraged-finance analyst,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
scenario-sensitivity-generator,Investment Banking & Research,"Create scenario, sensitivity, breakeven, and decision-threshold analyses around the most material operating and valuation drivers.",Banking / research / investment analyst,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
transaction-process-tracker,Investment Banking & Research,"Maintain outreach, NDA, access, diligence, bid, approval, deadline, and status tracking with reminders and an auditable change log.",Deal-team analyst / process manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
buyer-investor-list-builder,Investment Banking & Research,"Build and prioritize buyer, investor, lender, or sponsor universes using fit criteria, rationale, relationship context, and outreach waves.",Investment-banking / capital-markets analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Market/financial data, filings, research corpus, spreadsheet and presentation tools, CRM, data room","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
client-review-preparer,Wealth Management,"Build a client-review brief, deck, and agenda using goals, holdings, performance, financial plans, prior meeting notes, service history, life events, open actions, and discussion questions.",Wealth advisor / client-service associate / financial planner,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Wealth CRM, portfolio accounting, planning engine, prior meeting notes, service history, holdings, performance, product and disclosure data","Client and account identity, performance and holdings tie-outs, action completeness, disclosure coverage, no unauthorized recommendation",No by default
financial-goal-progress-analyzer,Wealth Management,"Measure progress toward stated goals using approved assumptions, scenarios, and cash flows; expose shortfalls and planning levers.",Financial advisor / planner,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
investment-policy-statement-builder,Wealth Management,"Draft or refresh an investment policy statement from documented objectives, constraints, risk tolerance, liquidity, tax, and governance requirements.",Advisor / investment counselor / compliance reviewer,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
suitability-reg-bi-reviewer,Wealth Management,"Review recommendation evidence for customer profile, costs, alternatives, conflicts, disclosures, and supervision; do not approve the recommendation.",Advisor / supervisor / compliance analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
portfolio-proposal-comparator,Wealth Management,"Compare portfolio proposals across objectives, risk, costs, taxes, liquidity, concentration, product features, and conflicts with transparent assumptions.",Advisor / portfolio specialist,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
portfolio-rebalancing-assistant,Wealth Management,"Identify drift and tax, liquidity, restriction, and cost impacts; prepare a proposed trade list requiring advisor and client authorization.",Advisor / portfolio manager / trading associate,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
retirement-income-scenario-modeler,Wealth Management,"Model retirement income, spending, inflation, longevity, taxes, sequence risk, and withdrawal strategies with ranges rather than guarantees.",Financial planner / retirement specialist,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
senior-investor-protection-screener,Wealth Management,"Surface potential exploitation, diminished-capacity, trusted-contact, unusual-disbursement, or communication concerns for trained human review.",Advisor / branch supervisor / fraud team,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
advisor-follow-up-assistant,Wealth Management,"Draft compliant meeting notes, action items, client communications, disclosures, CRM updates, and next-meeting reminders for advisor approval.",Financial advisor / client-service associate,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"CRM, portfolio accounting/OMS, planning engine, product data, disclosures, restrictions, approved tax assumptions","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
portfolio-exposure-analyzer,Asset Management,"Analyze portfolio exposures by issuer, factor, sector, country, currency, duration, liquidity, and look-through holdings with source lineage.",Portfolio manager / risk analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
performance-attribution-builder,Asset Management,"Build performance attribution by allocation, selection, factor, currency, instrument, and benchmark; reconcile totals and document methodology.",Performance analyst / portfolio manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
fund-commentary-drafter,Asset Management,"Draft monthly or quarterly fund commentary from reconciled performance, attribution, positioning, flows, market context, and approved messaging; flag unsupported claims and require product and compliance approval.",Asset-management product / investor relations / portfolio team,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Reconciled performance and attribution, holdings and positioning, flows, market data, approved messaging, prior commentary, disclosures and templates","Performance and attribution tie-outs, source and period fidelity, claim substantiation, consistency with positioning, disclosure and compliance approval",No by default
investment-thesis-monitor,Asset Management,"Track thesis KPIs, catalysts, risks, estimates, news, filings, and price action; flag evidence that confirms or challenges the thesis.",Research analyst / portfolio manager,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R2 — analytical or drafting support,Scheduled read-only; alert only,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
mandate-compliance-monitor,Asset Management,"Test portfolios and proposed trades against mandate, guideline, regulatory, concentration, ESG, and restriction rules; escalate exceptions.",Investment compliance / portfolio manager,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R2 — analytical or drafting support,Scheduled read-only; alert only,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
liquidity-stress-analyzer,Asset Management,"Estimate liquidation horizons, market impact, redemption coverage, collateral needs, and stressed liquidity under transparent scenarios.",Liquidity risk / portfolio management,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
counterparty-exposure-monitor,Asset Management,"Aggregate counterparty, settlement, derivative, collateral, and concentration exposures; monitor limits and credit developments.",Counterparty risk / treasury / operations,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R2 — analytical or drafting support,Scheduled read-only; alert only,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
fund-fact-sheet-builder,Asset Management,"Produce a controlled fund fact-sheet draft with performance, holdings, risk, fees, disclosures, and source-to-output reconciliation.",Product / marketing / performance analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"PMS/OMS, market data, risk/performance systems, research, compliance rules, document and reporting tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
due-diligence-questionnaire-responder,Asset Management,"Draft RFP and DDQ responses from an approved content library, policies, data, and prior answers; attach source citations, content owners, effective dates, and stale-language flags, and route unsupported questions to owners.",Investor relations / RFP team / client service / compliance,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Approved RFP/DDQ content library, content owners and expiry metadata, policies, performance/risk data, prior answers, document generation","Source fidelity, stale-language detection, completeness, response consistency, required disclosures, unsupported-claim prevention",No by default
investment-committee-memo-builder,Asset Management,"Draft an investment-committee memorandum from diligence materials, financial models, market data, and approved research, covering thesis, transaction structure, valuation, returns, scenarios, risks, mitigants, sizing, and decision questions.",Private equity / private credit / asset-management investment team,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Diligence materials, market and company data, financial models, transaction documents, portfolio context, approved IC template","Diligence traceability, model and memo tie-outs, scenario consistency, return/downside accuracy, decision-question completeness",No by default
enterprise-risk-assessment-builder,Risk Management,"Create an enterprise risk assessment linking risks, scenarios, controls, residual ratings, indicators, owners, evidence, and treatment actions.",Enterprise risk manager / business risk officer,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
risk-control-self-assessment-assistant,Risk Management,"Guide RCSA preparation, challenge risk and control statements, map evidence, score design and effectiveness, and track remediation.",First-line risk / operational-risk analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
key-risk-indicator-monitor,Risk Management,"Monitor KRIs against thresholds, trends, seasonality, data quality, breaches, and linked incidents; prepare escalation commentary.",Risk manager / business control officer,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
stress-test-scenario-designer,Risk Management,"Design severe-but-plausible scenarios, transmission channels, assumptions, variables, management actions, and reverse-stress thresholds.","Enterprise, capital, or liquidity risk analyst",new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
credit-risk-portfolio-analyzer,Risk Management,"Analyze portfolio quality, migration, delinquency, loss, collateral, concentration, vintage, and scenario impacts with transparent calculations.",Credit risk / portfolio analytics,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
market-risk-limit-monitor,Risk Management,"Monitor positions, sensitivities, VaR or expected shortfall, stress losses, limits, and breaches; produce evidence for escalation.",Market-risk analyst / trading risk manager,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
